ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId
Simplify division by breaking it down into factors,Division and Factors,A,"Simplify the following expression by breaking it down into factors:
\[
\frac{120}{15}
\]",\( 8 \),\( 10 \),\( 12 \),\( 6 \),,46.0,,
Find the total amount given a non-unit fraction,Fractions and Proportions,A,"If \( \frac{3}{4} \) of a number is 24, what is the number?",\( 32 \),\( 18 \),\( 8 \),\( 96 \),,50.0,,
Calculate the circumference of a circle,Circumference of a Circle,B,A circle has a radius of 7 cm. What is the circumference of the circle? (Use π ≈ 3.14),21.98 cm,43.96 cm,14 cm,22 cm,,,53.0,
Identify Rational Numbers,Rational and Irrational Numbers,B,Which of the following numbers is rational?,\( \sqrt{2} \),\( -\frac{3}{4} \),\( \pi \),\( \sqrt{-1} \),,,,56.0
Simplify algebraic fractions by identifying common factors,Simplifying Algebraic Fractions,A,Simplify the following algebraic fraction: \(\frac{12x^2 + 18x}{6x}\),\(2x + 3\),\(2x^2 + 3x\),\(2x + 3x\),\(2x^2 + 3\),,59.0,,
Interpret the gradient of a curve,Graphs and Curves,C,"The graph below shows the distance (in meters) a car travels over time (in seconds). 

![A graph showing a curved line that starts at the origin and increases in a concave up manner, indicating increasing speed.]

At which point on the graph is the car accelerating the fastest?",At the start of the journey (0 seconds),At the midpoint of the journey (50 seconds),At the end of the journey (100 seconds),The car is accelerating at a constant rate throughout the journey,,,,62.0
Understand the difference between data and sample,Data and Statistics,B,"A teacher collected the test scores of 30 students in a class. The scores are as follows: 75, 80, 85, 90, 95, 70, 72, 78, 82, 88, 92, 98, 65, 68, 71, 76, 81, 87, 93, 99, 60, 63, 67, 74, 79, 84, 91, 97, 55, 58, 62, 66. 

If the teacher wants to analyze the performance of the class, which of the following statements is correct?
",The test scores of the 30 students are the sample.,The test scores of the 30 students are the data.,The 30 students are the data.,The 30 students are the sample.,63.0,,,
Identify and use variables in a real-world context,Writing Expressions,B,"Sarah is planning a party and needs to buy some balloons. She decides to buy 3 red balloons for each guest and 2 blue balloons for each guest. If she expects to have 10 guests, how many balloons will she need in total?
",30 red balloons and 20 blue balloons,50 balloons in total,10 red balloons and 10 blue balloons,30 balloons in total,,,,65.0
Convert decimals to percentages,Converting between Decimals and Percentages,A,Convert 0.75 to a percentage.,75%,7.5%,0.75%,750%,,,,67.0
Understand the concept of non-unit fractions,Fractions of Amounts,A,"A recipe calls for 2/3 of a cup of sugar. If you only have a 1/3 cup measuring cup, how many times do you need to fill the 1/3 cup to get the correct amount of sugar?",2 times,3 times,1 time,4 times,,,69.0,
Convert decimals to fractions,Decimals and Fractions,C,Write \( 0.75 \) as a fraction in its simplest form.,\( \frac{1}{0.75} \),\( \frac{75}{100} \),\( \frac{3}{4} \),\( \frac{75}{1} \),72.0,,,
Distinguish between a function and an expression,Functions and Expressions,A,"Which of the following is a function and which is an expression?
A: \( f(x) = 2x + 3 \)
B: \( 2x + 3 \)","A is a function, B is an expression","A is an expression, B is a function",Both A and B are functions,Both A and B are expressions,,73.0,,
Understand the direction of positive and negative vectors,Vectors,B,"Tom and Katie are discussing the direction of vectors. They are given two vectors, \(\vec{a} = 3\hat{i}\) and \(\vec{b} = -3\hat{i}\). Tom says that \(\vec{a}\) and \(\vec{b}\) point in the same direction. Katie says that \(\vec{a}\) and \(\vec{b}\) point in opposite directions. Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,75.0,,,
Divide algebraic terms,Algebraic Expressions and Equations,A,Simplify the expression \(\frac{12x^3}{4x}\).,\(3x^2\),\(3x^3\),\(12x^2\),\(4x^2\),,79.0,,
Simplify algebraic fractions by factoring and cancelling common factors,Simplifying Algebraic Fractions,D,"Simplify the following algebraic fraction:
\[
\frac{3x + 12}{x + 4}
\]",\( 3 \),\( 3x \),\( 3(x + 4) \),\( 3 \),80.0,,,
Understand and apply properties of angles in polygons,Properties of Polygons,A,"In a regular hexagon, what is the measure of one exterior angle?",\( 60^\circ \),\( 120^\circ \),\( 180^\circ \),\( 30^\circ \),,87.0,,
Understand place value after the decimal point,Decimal Place Value,A,Sarah is comparing the following two numbers: \( 0.75 \) and \( 0.705 \). Which number is larger?,\( 0.75 \),\( 0.705 \),They are the same,Cannot be determined,,90.0,,
Identify the center of rotation,Transformations,B,"A shape is rotated to form its image. The original shape and its image are shown below. Identify the center of rotation. ![A diagram showing an original shape and its rotated image. The original shape is a triangle with vertices at (2, 2), (4, 2), and (3, 4). The image of the triangle has vertices at (2, -2), (4, -2), and (3, -4).]","(0, 0)","(3, 0)","(3, 3)","(2, 2)",92.0,,,
Multiply a surd by an integer,Surds and Indices,A,What is the result of \( 3 \times 2\sqrt{5} \)?,\( 6\sqrt{5} \),\( 6\sqrt{10} \),\( 15 \),\( 30 \),,93.0,,
Solve Simultaneous Equations,Simultaneous Equations,A,"Solve the following system of equations:
\[
\begin{cases}
2x + 3y = 12 \\
4x + 5y = 20
\end{cases}
\]
What is the value of \( x \)?",\( x = 2 \),\( x = 3 \),\( x = 4 \),\( x = 5 \),,,94.0,
Add and subtract surds,Surds,B,"Simplify the following expression:
\[
\sqrt{8} + \sqrt{2}
\]",\( \sqrt{10} \),\( 3\sqrt{2} \),\( 4\sqrt{2} \),\( 2\sqrt{2} + \sqrt{2} \),96.0,,,
Identify the nth term of a non-linear sequence,Non-Linear Sequences (nth term),A,"Consider the sequence: 2, 4, 8, 16, 32, ...

What is the 6th term of this sequence?",64,36,128,48,,104.0,,
Determine the fraction closest to 1,Comparing Fractions,B,Which of the following fractions is closest to 1?,\( \frac{5}{6} \),\( \frac{7}{8} \),\( \frac{4}{5} \),\( \frac{6}{7} \),112.0,,,
Convert fractions to decimals,Fractions and Decimals,B,What is the decimal equivalent of \(\frac{3}{8}\)?,\(0.3\),\(0.375\),\(0.8\),\(0.38\),115.0,,,
Calculate the mean from a grouped frequency table,Averages and Range from Frequency Table,C,"The table below shows the number of hours spent on homework by a group of students. Calculate the mean number of hours spent on homework.

\begin{tabular}{|c|c|}
\hline Hours (h) & Frequency (f) \\
\hline 0-2 & 5 \\
\hline 3-5 & 10 \\
\hline 6-8 & 15 \\
\hline 9-11 & 10 \\
\hline 12-14 & 5 \\
\hline
\end{tabular}
",7.5,75,7.0,8.0,,121.0,,
Convert percentages to fractions,Fractions and Percentages,C,Convert \( 25\% \) to a fraction in its simplest form.,\( \frac{25}{25} \),\( \frac{25}{100} \),\( \frac{1}{4} \),\( \frac{1}{25} \),122.0,,,
Identify and describe properties of lines and segments,Properties of Lines and Segments,B,Which of the following best describes two lines that are always the same distance apart and never intersect?,Perpendicular bisectors,Parallel lines,Intersecting lines,Perpendicular lines,124.0,,,
Perform basic arithmetic operations,Basic Operations,B,Tom and Katie are solving the problem \( 12 \div 4 \). Tom says the answer is 16 because he thinks the division sign means to add. Katie says the answer is 3. Who is correct?,Only Tom,Only Katie,Both Tom and Katie,Neither is correct,125.0,,,
Identify coordinates on a 2D grid,Coordinate Geometry,C,"On the coordinate grid below, what are the coordinates of point P? ![A coordinate grid with a point P marked at (3, -2)]","(3, 2)","(-3, -2)","(3, -2)","(-3, 2)",128.0,,,
Understand the concept of equivalent ratios,Ratios and Proportions,B,"The ratio of boys to girls in a classroom is \( 3:4 \). If the number of boys is increased to \( 6 \), what must the number of girls be to keep the ratio equivalent?",\( 6 \),\( 8 \),\( 10 \),\( 12 \),129.0,,,
Calculate the exterior angle of a polygon,Properties of Polygons,B,A regular hexagon has all its sides and angles equal. What is the measure of one exterior angle of this hexagon?,360 degrees,60 degrees,120 degrees,180 degrees,135.0,,,
Understand the meaning of multiplication in word problems,Multiplication and Division,A,"If a recipe calls for triple the amount of sugar compared to flour, and you use 2 cups of flour, how many cups of sugar should you use?",6 cups,5 cups,3 cups,2 cups,,,139.0,
Plot cumulative frequency graphs,Cumulative Frequency,C,"A teacher recorded the test scores of 30 students. The scores are grouped into the following classes: 0-10, 10-20, 20-30, 30-40, 40-50. The cumulative frequencies for these classes are 3, 8, 18, 25, and 30 respectively. On a cumulative frequency graph, at which point should the cumulative frequency of 18 be plotted?",At the lower bound of the class 20-30 (20),At the midpoint of the class 20-30 (25),At the upper bound of the class 20-30 (30),At the lower bound of the next class 30-40 (30),140.0,,,
Identify the coordinates of a point on a graph,Coordinate Geometry,A,A point is plotted on a coordinate grid at the location where the x-coordinate is 3 and the y-coordinate is -2. What are the coordinates of this point?,"(3, -2)","(-2, 3)","(2, -3)","(-3, 2)",,144.0,,
Convert percentages with a decimal point into decimals,Converting between Percentages and Decimals,B,What is \( 0.75 \% \) written as a decimal?,\( 0.75 \),\( 0.0075 \),\( 0.075 \),\( 7.5 \),145.0,,,
Distribute a total amount equally among a group,Division and Distribution,B,A teacher has 120 pencils to distribute equally among 10 students. How many pencils will each student receive?,1200 pencils,12 pencils,10 pencils,120 pencils,147.0,,,
Distinguish between theoretical and experimental probability,Probability,C,"A spinner is divided into 4 equal sections, each colored differently: red, blue, green, and yellow. The theoretical probability of landing on red is 1/4. After spinning the spinner 20 times, it lands on red 5 times. What is the experimental probability of landing on red?",1/4,1/5,5/20,4/5,148.0,,,
Understand Probability Notation,Probability,A,"A bag contains 5 red marbles, 3 blue marbles, and 2 green marbles. If a marble is randomly selected from the bag, what is \( P(\text{red}) \)?",\( \frac{5}{10} \),\( 5 \),\( \frac{3}{10} \),\( \frac{2}{10} \),,149.0,,
Understand and use place value in numbers,Place Value and Number Sense,A,Sarah has 17 marbles. She gives 7 marbles to her friend. How many marbles does Sarah have left?,10,17,7,24,,,150.0,
Solve for an angle in a right triangle using trigonometric ratios,Trigonometry,B,"In a right triangle, the length of the opposite side to angle \( \theta \) is 8 units, and the length of the adjacent side is 15 units. What is the measure of angle \( \theta \) in degrees?",\( \theta = \frac{8}{15} \),\( \theta = \tan^{-1}\left(\frac{8}{15}\right) \),\( \theta = \frac{15}{8} \),\( \theta = \tan\left(\frac{8}{15}\right) \),155.0,,,
Distinguish between linear and quadratic graphs,Graphs of Linear and Quadratic Equations,A,"The graph below shows the relationship between the number of hours a student studies and their test score. Which of the following equations could represent this graph? ![A graph with ""Number of Hours Studied"" on the x-axis and ""Test Score"" on the y-axis. The graph is a straight line that starts at (0, 50) and ends at (5, 100).]
",\( y = 10x + 50 \),\( y = x^2 + 50 \),\( y = 50x + 10 \),\( y = 50 - 10x \),,156.0,,
Calculate the perimeter of a rectangle,Perimeter and Area,B,A rectangle has a length of 12 cm² and a width of 8 cm². What is the perimeter of the rectangle?,40 cm,20 cm,40 cm²,20 cm²,,,157.0,
Add a positive to a negative number,Adding and Subtracting Integers,B,What is the result of -7 + 4?,-11,-3,3,11,160.0,,,
Understand the impact of multiple variables on bias in statistical analysis,Statistics and Probability,B,"A study is conducted to determine the effect of a new teaching method on student performance. The researchers only consider the variable ""teaching method"" (new vs. traditional) when analyzing the results. However, they did not account for other variables such as ""student's prior knowledge"" and ""class size."" Which of the following statements is true regarding the potential bias in the study?
",The study is unbiased because it only considers one variable.,The study may be biased because it does not account for other variables that could affect student performance.,The study is unbiased because the new teaching method is the only variable that matters.,The study is biased because it includes too many variables.,163.0,,,
Identify the x-intercept and y-intercept of a linear equation,Linear Equations and Graphs,B,Consider the linear equation \( y = 3x - 6 \). Which of the following statements is true about the x-intercept and y-intercept of this line?,The x-intercept is 3 and the y-intercept is -6.,The x-intercept is 2 and the y-intercept is -6.,The x-intercept is -6 and the y-intercept is 3.,The x-intercept is -6 and the y-intercept is 2.,165.0,,,
Understand and apply composite function notation correctly,Composite Functions,A,"Given the functions \( f(x) = 2x + 3 \) and \( g(x) = x^2 \), find \( (f \circ g)(2) \).",\( 11 \),\( 19 \),\( 7 \),\( 25 \),,168.0,,
Solve equations by dividing both sides by a common factor,Solving Linear Equations,D,Solve the equation \( 6x + 12 = 30 \) by dividing both sides by 6.,\( x + 2 = 5 \),\( x + 2 = 30 \),\( x + 2 = 10 \),\( x = 3 \),170.0,,,
Understand the effect of dividing by powers of ten in multiplication,Multiplying and Dividing with Decimals,B,"Calculate the following:
\[
(0.04 \times 0.05) \div (0.1 \times 0.1)
\]",\( 0.2 \),\( 2 \),\( 0.02 \),\( 20 \),173.0,,,
Identify the area of a sector in a circle,Area of Sectors,B,A circle has a radius of 10 cm. A sector of the circle has a central angle of 120 degrees. What is the area of the minor sector?,\( 100\pi \) cm²,\( \frac{100\pi}{3} \) cm²,\( \frac{200\pi}{3} \) cm²,\( 300\pi \) cm²,,,174.0,
